Date,New Cases
1/23,0
1/24,1
1/25,0
1/26,3
1/27,0
1/28,0
1/29,0
1/30,0
1/31,2
2/1,1
2/2,0
2/3,3
2/4,0
2/5,0
2/6,0
2/7,0
2/8,0
2/9,0
2/10,0
2/11,1
2/12,0
2/13,1
2/14,0
2/15,0
2/16,0
2/17,0
2/18,0
2/19,0
2/20,0
2/21,2
2/22,0
2/23,0
2/24,0
2/25,0
2/26,0
2/27,1
2/28,0
2/29,10
3/1,6
3/2,25
3/3,24
3/4,22
3/5,63
3/6,52
3/7,64
3/8,150
3/9,218
3/10,303
3/11,289
3/12,431
3/13,302
3/14,373
3/15,1203
3/16,772
3/17,2800
3/18,3429
3/19,4778
3/20,3572
3/21,5834
3/22,8837
3/23,10793
3/24,10192
3/25,13932
3/26,16957
3/27,18156
3/28,19318
3/29,18112
3/30,22060
3/31,22719
4/1,27278
4/2,26084
4/3,35089
4/4,30669
4/5,25718
4/6,42597
4/7,22088
4/8,31704
4/9,31684
4/10,34175
4/11,32736
4/12,28546
4/13,24603
4/14,26098
4/15,27204
4/16,29089
4/17,29714
4/18,29902
4/19,24738
4/20,29464
4/21,26180
4/22,26600
4/23,37155
4/24,30015
4/25,33878
4/26,28311
4/27,23727
4/28,23722
4/29,25621
4/30,31538
5/1,29618
5/2,29544
5/3,29833
5/4,19316
5/5,22506
5/6,22969
5/7,31105
5/8,25339
5/9,27005
5/10,24265
5/11,17564
5/12,21527
5/13,20859
5/14,27052
5/15,22807
5/16,32121
5/17,13421
5/18,24753
5/19,23543
5/20,22758
5/21,20490
5/22,24324
5/23,26563
5/24,15372
5/25,24986
5/26,16467
5/27,19766
5/28,21400
5/29,18255
5/30,23851
5/31,26089
6/1,15024
6/2,25010
6/3,14731
6/4,20638
6/5,29129
6/6,29169
6/7,17863
6/8,17704
6/9,17473
6/10,20543
6/11,21889
6/12,22640
6/13,25549
6/14,21861
6/15,18743
6/16,28618
6/17,23039
6/18,27976
6/19,32394
6/20,32456
6/21,27613
6/22,26736
6/23,34161
6/24,38018
6/25,40839
6/26,44783
6/27,44705
6/28,41089
6/29,35949
6/30,44015
7/1,54606
7/2,53345
7/3,57487
7/4,52136
7/5,44293
7/6,46474
7/7,50386
7/8,64901
7/9,59506
7/10,66639
7/11,62929
7/12,60510
7/13,59072
7/14,61226
7/15,67706
7/16,72514
7/17,75192
7/18,67671
7/19,63126
7/20,58185
7/21,63523
7/22,70522
7/23,72722
7/24,75040
7/25,64854
7/26,61803
7/27,54758
7/28,60171
7/29,66351
7/30,68384
7/31,69010
8/1,59081
8/2,47801
8/3,50035
8/4,50391
8/5,53908
8/6,56415
8/7,62226
8/8,54575
8/9,48992
8/10,40772
8/11,56021
8/12,56786
8/13,53379
8/14,57075
8/15,54765
8/16,42328
8/17,39068
8/18,40072
8/19,46909
8/20,45241
8/21,47447
8/22,45583
8/23,38779
8/24,33457
8/25,37786
8/26,46998
8/27,47894
8/28,45037
8/29,43781
8/30,38380
8/31,32796
9/1,43771
9/2,40392
9/3,45377
9/4,49691
9/5,45695
9/6,34370
9/7,26373
9/8,23739
9/9,33493
9/10,38606
9/11,45318
9/12,40760
9/13,34224
9/14,34336
9/15,34977
9/16,42260
9/17,43897
9/18,49506
9/19,42610
9/20,37559
9/21,39785
9/22,48183
9/23,41676
9/24,42660
9/25,46499
9/26,49517
9/27,36439
9/28,34335
9/29,38915
9/30,45996
10/1,47760
10/2,50487
10/3,48660
10/4,36756
10/5,39985
10/6,40317
10/7,53563
10/8,55414
10/9,59068
10/10,53824
10/11,46036
10/12,47098
10/13,47945
10/14,60384
10/15,63852
10/16,70705
10/17,53888
10/18,47323
10/19,60692
10/20,61135
10/21,64289
10/22,74968
10/23,83846
10/24,84443
10/25,63486
10/26,64428
10/27,73073
10/28,82994
10/29,91032
10/30,100435
10/31,89428
11/1,137688
11/2,87456
11/3,91809
11/4,109798
11/5,120661
11/6,136141
11/7,96271
11/8,106905
11/9,122115
11/10,139696
11/11,146592
11/12,161083
11/13,184422
11/14,197686
11/15,101856
11/16,153230
11/17,167239
11/18,167887
11/19,187813
11/20,194929
11/21,187169
11/22,149247
11/23,159185
11/24,168265
11/25,185524
11/26,151496
11/27,173454
11/28,143636
11/29,154253
11/30,153931
12/1,182329
12/2,200250
12/3,223913
12/4,218067
12/5,209814
12/6,176527
12/7,187391
12/8,223613
12/9,234474
12/10,208282
12/11,247469
12/12,216464
12/13,182572
12/14,205960
12/15,206071
12/16,241424
12/17,249892
12/18,235407
12/19,201911
12/20,197857
12/21,184799
12/22,198523
12/23,228748
12/24,195065
12/25,142444
12/26,180759
12/27,148380
12/28,171445
12/29,202121
12/30,233052
12/31,231428
