Date,2021 Traveler Throughput,2020 Traveler Throughput,2019 Traveler Throughput
1-Jan,"805,990","2,311,732","2,126,398"
2-Jan,"1,192,881","2,178,656","2,345,103"
3-Jan,"1,327,289","2,422,272","2,202,111"
4-Jan,"1,080,346","2,210,542","2,150,571"
5-Jan,"766,594","1,806,480","1,975,947"
6-Jan,"665,855","1,815,040","2,229,391"
7-Jan,"771,734","2,034,472","2,044,043"
8-Jan,"772,471","2,072,543","1,733,739"
9-Jan,"709,444","1,687,974","1,739,642"
10-Jan,"886,536","2,183,734","1,955,200"
11-Jan,"708,177","1,992,453","1,959,788"
12-Jan,"520,117","1,691,205","1,604,862"
13-Jan,"567,401","1,876,782","1,970,450"
14-Jan,"803,688","2,242,656","1,886,642"
15-Jan,"903,039","2,347,075","1,605,758"
16-Jan,"690,438","1,781,893","1,786,012"
17-Jan,"810,654","2,000,260","2,139,242"
18-Jan,"878,048","2,298,616","2,271,398"
19-Jan,"560,190","1,870,459","1,600,698"
20-Jan,"542,338","1,801,444","1,776,235"
21-Jan,"728,978","2,100,401","2,179,066"
22-Jan,"755,028","2,145,063","1,804,629"
23-Jan,"603,527","1,645,196","1,763,884"
24-Jan,"838,116","2,136,584","1,991,328"
25-Jan,"701,709","2,004,609","2,052,814"
26-Jan,"468,933","1,643,435","1,571,077"
27-Jan,"536,935","1,777,171","2,010,374"
28-Jan,"750,558","2,085,468","1,862,420"
29-Jan,"774,688","2,159,047","1,534,386"
30-Jan,"617,489","1,658,886","1,593,697"
31-Jan,"859,039","1,948,138","1,938,817"
1-Feb,"628,989","2,054,725","2,078,169"
2-Feb,"493,338","1,677,798","1,591,591"
3-Feb,"618,615","1,843,877","1,792,677"
4-Feb,"778,065","2,167,857","2,001,482"
5-Feb,"868,624","2,271,551","1,655,868"
6-Feb,"705,951","1,770,241","1,756,152"
7-Feb,"854,636","2,224,826","2,064,640"
8-Feb,"864,783","2,164,951","2,134,744"
9-Feb,"617,619","1,814,047","1,648,328"
10-Feb,"735,009","2,038,375","2,105,696"
11-Feb,"1,034,514","2,415,185","2,055,827"
12-Feb,"1,151,420","2,507,588","1,620,239"
13-Feb,"900,696","1,972,248","1,950,385"
14-Feb,"946,458","2,198,657","2,227,730"
15-Feb,"967,693","2,494,922","1,922,613"
16-Feb,"738,825","2,190,300","2,147,045"
17-Feb,"773,422","2,129,862","2,476,445"
18-Feb,"914,823","2,358,511","2,177,690"
19-Feb,"1,059,452","2,429,489","2,022,861"
20-Feb,"942,238","1,951,535","2,351,856"
21-Feb,"1,115,479","2,380,359","2,415,570"
22-Feb,"963,280","2,267,382","2,331,841"
23-Feb,"714,725","1,919,803","2,274,217"
24-Feb,"802,230","2,075,554","2,197,938"
25-Feb,"1,051,149","2,364,727","2,160,322"
26-Feb,"1,096,348","2,441,643","1,861,286"
27-Feb,"917,282","1,949,696","2,015,079"
28-Feb,"1,190,682","2,353,150","2,307,393"
1-Mar,"1,047,418","2,280,522","2,301,439"
2-Mar,"743,134","2,089,641","2,257,920"
3-Mar,"782,727","1,736,393","1,979,558"
4-Mar,"1,106,265","1,877,401","2,143,619"
5-Mar,"1,167,551","2,130,015","2,402,692"
6-Mar,"991,547","2,198,517","2,543,689"
7-Mar,"1,277,719","1,844,811","2,156,262"
8-Mar,,"2,119,867","2,485,430"
9-Mar,,"1,909,363","2,378,673"
10-Mar,,"1,617,220","2,122,898"
11-Mar,,"1,702,686","2,187,298"
12-Mar,,"1,788,456","2,503,924"
13-Mar,,"1,714,372","2,634,215"
14-Mar,,"1,485,553","2,274,658"
15-Mar,,"1,519,192","2,545,742"
16-Mar,,"1,257,823","2,465,709"
17-Mar,,"953,699","2,177,929"
18-Mar,,"779,631","2,320,885"
19-Mar,,"620,883","2,513,231"
20-Mar,,"593,167","2,559,307"
21-Mar,,"548,132","2,227,181"
22-Mar,,"454,516","2,542,643"
23-Mar,,"331,431","2,434,370"
24-Mar,,"279,018","2,151,913"
25-Mar,,"239,234","2,273,811"
26-Mar,,"203,858","2,487,162"
27-Mar,,"199,644","2,538,384"
28-Mar,,"184,027","2,172,920"
29-Mar,,"180,002","2,510,294"
30-Mar,,"154,080","2,360,053"
31-Mar,,"146,348","2,026,256"
1-Apr,,"136,023","2,151,626"
2-Apr,,"124,021","2,411,500"
3-Apr,,"129,763","2,476,884"
4-Apr,,"118,302","2,011,715"
5-Apr,,"122,029","2,462,929"
6-Apr,,"108,310","2,384,091"
7-Apr,,"97,130","2,091,056"
8-Apr,,"94,931","2,229,276"
9-Apr,,"104,090","2,487,398"
10-Apr,,"108,977","2,590,499"
11-Apr,,"93,645","2,059,142"
12-Apr,,"90,510","2,446,801"
13-Apr,,"102,184","2,484,580"
14-Apr,,"87,534","2,208,688"
15-Apr,,"90,784","2,317,381"
16-Apr,,"95,085","2,616,158"
17-Apr,,"106,385","2,457,133"
18-Apr,,"97,236","1,988,205"
19-Apr,,"105,382","2,356,802"
20-Apr,,"99,344","2,594,171"
21-Apr,,"92,859","2,227,475"
22-Apr,,"98,968","2,254,209"
23-Apr,,"111,627","2,526,961"
24-Apr,,"123,464","2,521,897"
25-Apr,,"114,459","1,990,464"
26-Apr,,"128,875","2,506,809"
27-Apr,,"119,854","2,412,770"
28-Apr,,"110,913","2,102,068"
29-Apr,,"119,629","2,256,442"
30-Apr,,"154,695","2,499,461"
1-May,,"171,563","2,546,029"
2-May,,"134,261","1,968,278"
3-May,,"170,254","2,512,598"
4-May,,"163,692","2,470,969"
5-May,,"130,601","2,106,597"
6-May,,"140,409","2,270,662"
7-May,,"190,863","2,555,342"
8-May,,"215,444","2,602,631"
9-May,,"169,580","1,985,942"
10-May,,"200,815","2,419,114"
11-May,,"215,645","2,512,315"
12-May,,"163,205","2,191,387"
13-May,,"176,667","2,343,675"
14-May,,"234,928","2,611,324"
15-May,,"250,467","2,664,549"
16-May,,"193,340","2,091,116"
17-May,,"253,807","2,620,276"
18-May,,"244,176","2,615,691"
19-May,,"190,477","2,312,727"
20-May,,"230,367","2,472,123"
21-May,,"318,449","2,673,635"
22-May,,"348,673","2,792,670"
23-May,,"253,190","2,124,825"
24-May,,"267,451","2,070,716"
25-May,,"340,769","2,512,237"
26-May,,"264,843","2,453,649"
27-May,,"261,170","2,269,035"
28-May,,"321,776","2,485,770"
29-May,,"327,133","2,570,613"
30-May,,"268,867","2,117,180"
31-May,,"352,947","2,555,578"
1-Jun,,"353,261","2,499,002"
2-Jun,,"267,742","2,247,421"
3-Jun,,"304,436","2,370,152"
4-Jun,,"391,882","2,623,947"
5-Jun,,"419,675","2,649,808"
6-Jun,,"353,016","2,225,952"
7-Jun,,"441,255","2,669,860"
8-Jun,,"430,414","2,644,981"
9-Jun,,"338,382","2,433,189"
10-Jun,,"386,969","2,509,058"
11-Jun,,"502,209","2,675,686"
12-Jun,,"519,304","2,727,860"
13-Jun,,"437,119","2,318,946"
14-Jun,,"544,046","2,642,083"
15-Jun,,"534,528","2,699,580"
16-Jun,,"417,924","2,466,574"
17-Jun,,"441,829","2,552,395"
18-Jun,,"576,514","2,728,786"
19-Jun,,"587,908","2,772,903"
20-Jun,,"507,129","2,378,559"
21-Jun,,"590,456","2,719,643"
22-Jun,,"607,540","2,716,428"
23-Jun,,"471,421","2,506,510"
24-Jun,,"494,826","2,594,661"
25-Jun,,"623,624","2,711,222"
26-Jun,,"632,984","2,730,515"
27-Jun,,"546,310","2,368,846"
28-Jun,,"633,810","2,632,030"
29-Jun,,"625,235","2,455,536"
30-Jun,,"500,054","2,347,767"
1-Jul,,"626,516","2,547,889"
2-Jul,,"764,761","2,088,760"
3-Jul,,"718,988","2,184,253"
4-Jul,,"466,669","2,345,846"
5-Jul,,"732,123","2,795,369"
6-Jul,,"755,555","2,748,718"
7-Jul,,"641,761","2,506,859"
